CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalQuantity,ActiveMonths,FirstPurchase,LastPurchase,Churn
12346.0,326,12,77556.46,2281.0723529411766,74285,4,2009-12-14 08:34:00,2011-01-18 10:01:00,1
12347.0,2,8,4921.53,22.169054054054055,2967,6,2010-10-31 14:20:00,2011-12-07 15:52:00,0
12348.0,75,5,2019.3999999999999,39.59607843137255,2714,4,2010-09-27 14:59:00,2011-09-25 13:13:00,0
12349.0,19,4,4428.6900000000005,25.306800000000003,1624,4,2010-04-29 13:20:00,2011-11-21 09:51:00,0
12350.0,310,1,334.40000000000003,19.67058823529412,197,1,2011-02-02 16:01:00,2011-02-02 16:01:00,1
12351.0,375,1,300.93,14.33,261,1,2010-11-29 15:23:00,2010-11-29 15:23:00,1
12352.0,36,10,2849.84,27.668349514563108,724,4,2010-11-12 10:20:00,2011-11-03 14:37:00,0
12353.0,204,2,406.76,16.948333333333334,212,2,2010-10-27 12:44:00,2011-05-19 17:47:00,1
12354.0,232,1,1079.4,18.610344827586207,530,1,2011-04-21 13:11:00,2011-04-21 13:11:00,1
12355.0,214,2,947.61,27.074571428571428,543,1,2010-05-21 11:59:00,2011-05-09 13:49:00,1
12356.0,23,6,6371.7300000000005,44.87133802816902,3416,4,2010-10-11 09:42:00,2011-11-17 08:40:00,0
12357.0,33,3,18287.66,61.78263513513514,6587,1,2010-11-16 10:05:00,2011-11-06 16:07:00,0
12358.0,2,5,3887.07,50.48142857142857,1079,4,2009-12-08 07:59:00,2011-12-08 10:26:00,0
12359.0,58,10,8873.39,24.5121270718232,2739,6,2009-12-05 13:32:00,2011-10-13 12:47:00,0
12360.0,52,8,4252.89,19.59857142857143,2459,6,2010-02-22 09:32:00,2011-10-18 15:22:00,0
12361.0,287,4,511.25,17.629310344827587,235,4,2010-01-26 14:37:00,2011-02-25 13:51:00,1
12362.0,3,11,5356.2300000000005,20.060786516853934,2230,8,2009-12-01 10:10:00,2011-12-06 15:40:00,0
12363.0,110,2,552.0,24.0,408,2,2011-04-11 13:29:00,2011-08-22 10:18:00,0
12364.0,8,4,1313.1,15.448235294117646,1506,4,2011-08-19 15:24:00,2011-12-02 10:22:00,0
12365.0,291,2,641.38,29.153636363636362,174,1,2011-02-21 13:51:00,2011-02-21 14:04:00,1
12366.0,634,1,500.24,166.74666666666667,296,1,2010-03-16 10:28:00,2010-03-16 10:28:00,1
12367.0,4,1,168.9,15.354545454545455,173,1,2011-12-05 16:48:00,2011-12-05 16:48:00,0
12368.0,628,1,917.7,50.983333333333334,330,1,2010-03-21 15:56:00,2010-03-21 15:56:00,1
12369.0,413,3,1791.15,19.25967741935484,1241,3,2010-03-08 08:09:00,2010-10-22 13:13:00,1
12370.0,51,7,4316.56,21.47542288557214,2604,4,2010-02-09 09:41:00,2011-10-19 14:51:00,0
12371.0,45,5,4067.38,24.35556886227545,1436,2,2010-03-04 18:23:00,2011-10-26 10:16:00,0
12372.0,72,3,1298.04,24.962307692307693,794,3,2011-02-16 12:46:00,2011-09-29 12:12:00,0
12373.0,311,3,1127.65,22.110784313725492,516,2,2010-02-04 12:08:00,2011-02-01 13:10:00,1
12374.0,25,4,2989.2200000000003,36.01469879518073,1362,3,2010-04-30 14:01:00,2011-11-14 15:37:00,0
12375.0,11,2,457.5,26.91176470588235,178,2,2011-09-02 14:23:00,2011-11-29 10:36:00,0
12376.0,390,2,503.15,38.70384615384615,240,2,2010-10-18 08:42:00,2010-11-15 12:15:00,1
