CustomerID,Cluster,Segment
12346.0,2,Champions
12347.0,3,Loyal Customers
12348.0,3,Loyal Customers
12349.0,3,Loyal Customers
12350.0,1,At Risk Customers
12351.0,1,At Risk Customers
12352.0,3,Loyal Customers
12353.0,0,Potential Customers
12354.0,0,Potential Customers
12355.0,0,Potential Customers
12356.0,3,Loyal Customers
12357.0,3,Loyal Customers
12358.0,3,Loyal Customers
12359.0,2,Champions
12360.0,3,Loyal Customers
12361.0,0,Potential Customers
12362.0,2,Champions
12363.0,0,Potential Customers
12364.0,3,Loyal Customers
12365.0,0,Potential Customers
12366.0,1,At Risk Customers
12367.0,0,Potential Customers
12368.0,1,At Risk Customers
12369.0,1,At Risk Customers
12370.0,3,Loyal Customers
12371.0,3,Loyal Customers
12372.0,3,Loyal Customers
12373.0,3,Loyal Customers
12374.0,3,Loyal Customers
12375.0,0,Potential Customers
12376.0,1,At Risk Customers
12377.0,3,Loyal Customers
12378.0,3,Loyal Customers
12379.0,3,Loyal Customers
12380.0,2,Champions
12381.0,3,Loyal Customers
12383.0,3,Loyal Customers
12384.0,0,Potential Customers
12385.0,1,At Risk Customers
12386.0,1,At Risk Customers
12387.0,1,At Risk Customers
12388.0,3,Loyal Customers
12389.0,1,At Risk Customers
12390.0,0,Potential Customers
12391.0,3,Loyal Customers
12392.0,1,At Risk Customers
12393.0,3,Loyal Customers
12394.0,0,Potential Customers
12395.0,2,Champions
12396.0,1,At Risk Customers
12397.0,3,Loyal Customers
12398.0,0,Potential Customers
12399.0,3,Loyal Customers
12400.0,1,At Risk Customers
12401.0,1,At Risk Customers
12402.0,3,Loyal Customers
12403.0,0,Potential Customers
12404.0,1,At Risk Customers
12405.0,0,Potential Customers
12406.0,3,Loyal Customers
12407.0,3,Loyal Customers
12408.0,3,Loyal Customers
12409.0,2,Champions
12410.0,3,Loyal Customers
12411.0,1,At Risk Customers
12412.0,3,Loyal Customers
12413.0,3,Loyal Customers
12414.0,3,Loyal Customers
12415.0,2,Champions
12416.0,1,At Risk Customers
12417.0,2,Champions
12418.0,3,Loyal Customers
12419.0,1,At Risk Customers
12420.0,0,Potential Customers
12421.0,3,Loyal Customers
12422.0,2,Champions
12423.0,3,Loyal Customers
12424.0,3,Loyal Customers
12425.0,3,Loyal Customers
12426.0,0,Potential Customers
12427.0,0,Potential Customers
12428.0,2,Champions
12429.0,2,Champions
12430.0,0,Potential Customers
12431.0,2,Champions
12432.0,3,Loyal Customers
12433.0,2,Champions
12434.0,3,Loyal Customers
12435.0,2,Champions
12436.0,0,Potential Customers
12437.0,2,Champions
12438.0,3,Loyal Customers
12439.0,1,At Risk Customers
12440.0,1,At Risk Customers
12441.0,1,At Risk Customers
12442.0,0,Potential Customers
12443.0,1,At Risk Customers
12444.0,3,Loyal Customers
12445.0,0,Potential Customers
12446.0,0,Potential Customers
12447.0,0,Potential Customers
12448.0,0,Potential Customers
12449.0,3,Loyal Customers
12450.0,3,Loyal Customers
12451.0,2,Champions
12452.0,0,Potential Customers
12453.0,0,Potential Customers
12454.0,2,Champions
12455.0,2,Champions
12456.0,3,Loyal Customers
12457.0,3,Loyal Customers
12458.0,3,Loyal Customers
12459.0,1,At Risk Customers
12460.0,1,At Risk Customers
12461.0,0,Potential Customers
12462.0,0,Potential Customers
12463.0,3,Loyal Customers
12464.0,3,Loyal Customers
12465.0,0,Potential Customers
12466.0,1,At Risk Customers
12467.0,1,At Risk Customers
12468.0,3,Loyal Customers
12469.0,1,At Risk Customers
12470.0,1,At Risk Customers
12471.0,2,Champions
12472.0,2,Champions
12473.0,3,Loyal Customers
12474.0,2,Champions
12475.0,0,Potential Customers
12476.0,2,Champions
12477.0,2,Champions
12478.0,0,Potential Customers
12479.0,0,Potential Customers
12480.0,3,Loyal Customers
12481.0,2,Champions
12482.0,2,Champions
12483.0,2,Champions
12484.0,2,Champions
12485.0,1,At Risk Customers
12486.0,1,At Risk Customers
12487.0,1,At Risk Customers
12488.0,3,Loyal Customers
12489.0,1,At Risk Customers
12490.0,2,Champions
12491.0,0,Potential Customers
12492.0,0,Potential Customers
12493.0,0,Potential Customers
12494.0,3,Loyal Customers
12495.0,1,At Risk Customers
12496.0,1,At Risk Customers
12497.0,3,Loyal Customers
