Date,DailySales,Year,Quarter,Month,MonthName,Week,Day,DayOfWeek,DayName,IsWeekend,IsMonthStart,IsMonthEnd,DayOfYear,Lag_1,Lag_7,Lag_14,Lag_30,RollingMean_7,RollingStd_7,RollingMean_14,RollingStd_14,RollingMean_30,RollingStd_30,TimeIndex
2009-12-31,0.0,2009,4,12,December,53,31,3,Thursday,0,0,1,365,0.0,0.0,29758.87,43894.87,0.0,0.0,5617.8435714285715,9321.148746217714,21320.304666666667,20090.176987087536,30
2010-01-01,0.0,2010,1,1,January,53,1,4,Friday,0,1,0,1,0.0,0.0,31562.72,52762.06,0.0,0.0,3363.3635714285715,5661.989415609132,19561.569333333333,19544.836202469392,31
2010-01-02,0.0,2010,1,1,January,53,2,5,Saturday,1,0,0,2,0.0,0.0,0.0,67413.62,0.0,0.0,3363.363571428571,5661.989415609132,17314.448666666667,17635.551619033395,32
2010-01-03,0.0,2010,1,1,January,53,3,6,Sunday,1,0,0,3,0.0,0.0,11355.19,33913.81,0.0,0.0,2552.2785714285715,5225.59171783929,16183.988333333335,17621.774212329216,33
2010-01-04,13415.09,2010,1,1,January,1,4,0,Monday,0,0,0,4,0.0,0.0,15549.64,9803.050000000001,1916.4414285714286,5070.427422221323,2399.8107142857148,4833.634817875189,16304.389666666666,17588.98204779648,34
2010-01-05,19051.19,2010,1,1,January,1,5,1,Tuesday,0,0,0,5,13415.09,0.0,10696.59,24390.1,4638.04,8086.331830451083,2996.567857142857,6246.0975543418745,16126.426,17531.265138495422,35
2010-01-06,8731.26,2010,1,1,January,1,6,2,Wednesday,0,0,0,6,19051.19,0.0,9485.67,33002.49,5885.362857142857,7923.434751736366,2942.6814285714286,6188.799718666453,15317.385,17283.900209568714,36
2010-01-07,72989.38,2010,1,1,January,1,7,3,Thursday,0,0,0,7,8731.26,0.0,0.0,44763.340000000004,16312.417142857144,26089.37300510862,8156.208571428572,19641.527119164093,16258.253,19560.428694610076,37
2010-01-08,30292.7,2010,1,1,January,1,8,4,Friday,0,0,0,8,72989.38,0.0,0.0,30763.170000000002,20639.945714285717,25436.82741540164,10319.972857142859,20330.38440473515,16242.570666666667,19548.58356112507,38
2010-01-09,0.0,2010,1,1,January,1,9,5,Saturday,1,0,0,9,30292.7,0.0,0.0,38598.21,20639.945714285717,25436.82741540164,10319.972857142859,20330.38440473515,14955.963666666668,19295.034400366523,39
2010-01-10,23157.33,2010,1,1,January,1,10,6,Sunday,1,0,0,10,0.0,0.0,0.0,39204.17,23948.135714285716,23755.39991519883,11974.067857142858,20368.16967240538,14421.069,18816.130051235545,40
2010-01-11,19684.49,2010,1,1,January,2,11,0,Monday,0,0,0,11,23157.33,13415.09,0.0,0.0,24843.76428571429,23407.736327185263,13380.102857142858,20156.322909711096,15077.21866666667,18638.27740210225,41
2010-01-12,38833.58,2010,1,1,January,2,12,1,Tuesday,0,0,0,12,19684.49,19051.19,0.0,21577.35,27669.820000000003,23783.003771393134,16153.930000000002,20834.03336271428,15652.426333333335,19106.203390223724,42
2010-01-13,12391.1,2010,1,1,January,2,13,2,Wednesday,0,0,0,13,38833.58,8731.26,0.0,51245.16,28192.65428571429,23333.25363250616,17039.008571428574,20352.62719412706,14357.291000000001,17888.38529490099,43
2010-01-14,23721.64,2010,1,1,January,2,14,3,Thursday,0,0,0,14,12391.1,72989.38,0.0,46836.63,21154.405714285716,12470.826515129687,18733.411428571428,19805.046701945914,13586.791333333334,16912.3592876201,44
2010-01-15,13499.550000000001,2010,1,1,January,2,15,4,Friday,0,0,0,15,23721.64,30292.7,0.0,36927.3,18755.38428571429,12027.263131969312,19697.665,19140.279689425293,12805.866333333335,16328.251330762312,45
2010-01-16,0.0,2010,1,1,January,2,16,5,Saturday,1,0,0,16,13499.550000000001,0.0,0.0,29758.87,18755.38428571429,12027.263131969312,19697.665,19140.279689425293,11813.904,16165.95843889925,46
2010-01-17,17363.25,2010,1,1,January,2,17,6,Sunday,1,0,0,17,0.0,23157.33,0.0,31562.72,17927.658571428572,11872.203905657701,20937.897142857142,18310.2976740246,11340.588333333335,15770.844806286032,47
2010-01-18,12078.84,2010,1,1,January,3,18,0,Monday,0,0,0,18,17363.25,19684.49,13415.09,0.0,16841.137142857147,12031.58256267604,20842.450714285715,18355.954258683993,11743.216333333334,15624.84717034278,48
2010-01-19,21892.791,2010,1,1,January,3,19,1,Tuesday,0,0,0,19,12078.84,38833.58,19051.19,11355.19,14421.02442857143,7846.516411691893,21045.42221428571,18350.33341441295,12094.4697,15733.887825932232,49
2010-01-20,13244.34,2010,1,1,January,3,20,2,Wednesday,0,0,0,20,21892.791,12391.1,8731.26,15549.64,14542.915857142858,7816.296109303929,21367.785071428574,18155.98019041693,12017.626366666667,15722.056119832838,50
2010-01-21,27359.23,2010,1,1,January,3,21,3,Thursday,0,0,0,21,13244.34,23721.64,72989.38,10696.59,15062.571571428574,8608.963798447923,18108.488642857144,10769.262460300784,12573.047700000001,15966.207082735084,51
2010-01-22,29345.83,2010,1,1,January,3,22,4,Friday,0,0,0,22,27359.23,13499.550000000001,30292.7,9485.67,17326.32585714286,10086.144760180496,18040.855071428574,10689.5346929984,13235.053033333334,16243.110033057626,52
2010-01-23,0.0,2010,1,1,January,3,23,5,Saturday,1,0,0,23,29345.83,0.0,0.0,0.0,17326.32585714286,10086.144760180496,18040.855071428574,10689.5346929984,13235.053033333334,16243.110033057626,53
2010-01-24,15552.32,2010,1,1,January,3,24,6,Sunday,1,0,0,24,0.0,17363.25,23157.33,0.0,17067.621571428575,10108.240324743487,17497.640071428574,10602.406515600029,13753.463699999998,16053.209681915421,54
2010-01-25,18346.54,2010,1,1,January,4,25,0,Monday,0,0,0,25,15552.32,12078.84,19684.49,0.0,17963.007285714288,9867.41114743129,17402.072214285716,10587.197509803507,14365.015033333333,15859.490171835763,55
