Date,ActualSales,PredictedSales
2011-07-21,30271.94,31001.486
2011-07-22,14628.88,23278.828
2011-07-23,0.0,4034.154
2011-07-24,26777.92,16193.429
2011-07-25,19676.55,33232.863
2011-07-26,17284.301,32272.838
2011-07-27,22846.13,25452.854
2011-07-28,54171.95,33774.43
2011-07-29,17166.75,20757.805
2011-07-30,0.0,2647.801
2011-07-31,33112.36,11649.98
2011-08-01,19778.12,24969.76
2011-08-02,20272.0,29487.736
2011-08-03,26572.83,30677.807
2011-08-04,62074.19,36759.746
2011-08-05,19703.95,29373.477
2011-08-06,0.0,4298.387
2011-08-07,7541.91,17252.607
2011-08-08,19743.98,24884.873
2011-08-09,25949.92,34998.95
2011-08-10,19853.41,32314.197
2011-08-11,54325.27,37150.18
2011-08-12,17970.170000000002,22927.234
2011-08-13,0.0,2648.6926
2011-08-14,5701.87,16997.441
2011-08-15,17235.95,25052.375
2011-08-16,16072.71,31686.76
2011-08-17,48554.44,42571.51
2011-08-18,54034.98,37380.223
2011-08-19,17326.07,29076.443
2011-08-20,0.0,2508.0383
2011-08-21,14410.25,12407.243
2011-08-22,29617.26,33200.707
2011-08-23,22384.02,41724.004
2011-08-24,38371.37,34170.598
2011-08-25,22441.26,29136.451
2011-08-26,24095.49,23298.332
2011-08-27,0.0,3195.1357
2011-08-28,10686.56,13887.069
2011-08-29,0.0,9451.831
2011-08-30,8805.17,15021.168
2011-08-31,20527.89,14160.874
2011-09-01,37358.62,30097.416
2011-09-02,30203.86,13521.38
2011-09-03,0.0,3420.3784
2011-09-04,16930.43,11348.618
2011-09-05,35439.91,29196.598
2011-09-06,25466.97,31048.719
2011-09-07,21967.42,30460.299
2011-09-08,23048.38,35383.867
2011-09-09,25082.86,22308.32
2011-09-10,0.0,4321.301
2011-09-11,35206.92,15399.449
2011-09-12,27777.36,26524.018
2011-09-13,48116.5,26243.73
2011-09-14,22013.75,29512.967
2011-09-15,71926.69,49490.625
2011-09-16,23245.03,37427.547
2011-09-17,0.0,3952.7917
2011-09-18,15639.55,26336.56
2011-09-19,46588.21,37880.848
2011-09-20,103377.68,50013.53
2011-09-21,38472.1,72272.85
2011-09-22,57734.98,46984.38
2011-09-23,31753.75,38881.383
2011-09-24,0.0,4064.642
2011-09-25,31164.781,47546.766
2011-09-26,29265.511,47334.156
2011-09-27,29212.32,44440.12
2011-09-28,39001.91,37310.836
2011-09-29,44671.27,37718.53
2011-09-30,40023.44,30020.936
2011-10-01,0.0,3223.3926
2011-10-02,11479.98,19884.6
2011-10-03,62143.07,37468.176
2011-10-04,38532.09,49899.043
2011-10-05,73975.57,49899.14
2011-10-06,60258.53,50567.836
2011-10-07,49089.47,43155.957
2011-10-08,0.0,3732.6685
2011-10-09,12215.51,33178.594
2011-10-10,42962.8,41418.594
2011-10-11,46401.14,50136.73
2011-10-12,27655.2,46335.44
2011-10-13,32850.25,48462.83
2011-10-14,32071.62,33413.613
2011-10-15,0.0,3238.6138
2011-10-16,21767.94,25923.283
2011-10-17,46868.65,34057.746
2011-10-18,37248.16,35635.39
2011-10-19,37227.88,40138.992
2011-10-20,60910.3,51703.867
2011-10-21,60364.01,41569.832
2011-10-22,0.0,3380.5762
2011-10-23,12156.57,27601.068
2011-10-24,38897.89,42579.074
2011-10-25,36113.86,55457.67
2011-10-26,34105.36,46985.258
2011-10-27,55747.2,55476.297
2011-10-28,37194.58,35692.895
2011-10-29,0.0,3419.4229
2011-10-30,34397.95,26549.354
2011-10-31,33006.87,38542.215
2011-11-01,29069.56,38504.715
2011-11-02,38536.44,40876.06
2011-11-03,60536.09,48017.82
2011-11-04,55716.47,40649.93
2011-11-05,0.0,2822.6658
2011-11-06,42508.59,25865.756
2011-11-07,28602.73,39526.555
2011-11-08,38151.91,48856.297
2011-11-09,61241.58,50359.73
2011-11-10,70373.03,50969.336
2011-11-11,36932.07,38677.703
2011-11-12,0.0,3799.9553
2011-11-13,28416.01,30334.496
2011-11-14,58595.22,39623.797
2011-11-15,47535.51,60744.84
2011-11-16,48154.12,43935.344
2011-11-17,55683.49,47475.855
2011-11-18,36606.25,40068.867
2011-11-19,0.0,3860.7305
2011-11-20,29642.39,32423.979
2011-11-21,45202.01,35287.105
2011-11-22,49438.55,43846.434
2011-11-23,71722.75,45533.117
2011-11-24,38359.69,45472.504
2011-11-25,26542.33,42728.38
2011-11-26,0.0,5458.8003
2011-11-27,16969.25,29188.453
2011-11-28,51632.21,52524.117
2011-11-29,48640.57,51750.934
2011-11-30,41396.79,45214.066
2011-12-01,44405.37,50508.652
2011-12-02,44526.1,29337.135
2011-12-03,0.0,1934.6003
2011-12-04,20232.0,30640.676
2011-12-05,58081.09,49022.797
2011-12-06,45989.66,49116.668
2011-12-07,69230.6,49006.387
2011-12-08,50395.96,48004.14
2011-12-09,184347.66,53094.023
