StockCode,ProductDescription,TotalQuantity,TotalRevenue,TotalOrders,InventoryStatus,Recommendation
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,24098.03,920,High Demand,Increase Stock
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,4888,High Demand,Increase Stock
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,High Demand,Increase Stock
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,2652,High Demand,Increase Stock
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,High Demand,Increase Stock
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,2612,High Demand,Increase Stock
17003,BROCADE RING PURSE ,70082,14640.96,387,High Demand,Increase Stock
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.35,1578,High Demand,Increase Stock
84991,60 TEATIME FAIRY CAKE CASES,52828,25785.92,1765,High Demand,Increase Stock
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.23,1160,High Demand,Increase Stock
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,21551.8,1348,High Demand,Increase Stock
22197,SMALL POPCORN HOLDER,42955,32505.93,1039,High Demand,Increase Stock
22492,MINI PAINT SET VINTAGE ,41507,25900.19,618,High Demand,Increase Stock
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,634,High Demand,Increase Stock
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.510000000002,1100,High Demand,Increase Stock
21213,PACK OF 72 SKULL CAKE CASES,38530,18319.18,1156,High Demand,Increase Stock
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75,1442,High Demand,Increase Stock
22616,PACK OF 12 LONDON TISSUES ,37084,10519.359999999999,633,High Demand,Increase Stock
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,1514,High Demand,Increase Stock
21915,RED  HARMONICA IN BOX ,35229,39870.65,884,High Demand,Increase Stock
84992,72 SWEETHEART FAIRY CAKE CASES,33936,16178.47,1176,High Demand,Increase Stock
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,39682.67,1818,High Demand,Increase Stock
84568,GIRLS ALPHABET IRON ON PATCHES ,33217,6399.57,72,High Demand,Increase Stock
21982,PACK OF 12 SUKI TISSUES ,31340,9774.279999999999,521,High Demand,Increase Stock
22197,POPCORN HOLDER,30919,23417.51,632,High Demand,Increase Stock
21975,PACK OF 60 DINOSAUR CAKE CASES,30881,14818.01,1133,High Demand,Increase Stock
16014,SMALL CHINESE STYLE SCISSOR,29354,9512.68,92,High Demand,Increase Stock
71459,HANGING JAM JAR T-LIGHT HOLDER,29255,22805.99,815,High Demand,Increase Stock
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,52188.18,1449,High Demand,Increase Stock
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,525,High Demand,Increase Stock
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,76598.18000000001,1691,High Demand,Increase Stock
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,High Demand,Increase Stock
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,41824.26,1043,High Demand,Increase Stock
22151,PLACE SETTING WHITE HEART,27085,10910.31,645,High Demand,Increase Stock
22469,HEART OF WICKER SMALL,26193,43316.54,1779,High Demand,Increase Stock
21931,JUMBO STORAGE BAG SUKI,25970,47760.99,1714,High Demand,Increase Stock
21981,PACK OF 12 WOODLAND TISSUES ,25859,6855.19,386,High Demand,Increase Stock
37410,BLACK AND WHITE PAISLEY FLOWER MUG,25685,3019.57,18,High Demand,Increase Stock
20727,LUNCH BAG  BLACK SKULL.,25392,39904.0,1997,High Demand,Increase Stock
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25389,19821.96,1141,High Demand,Increase Stock
22952,60 CAKE CASES VINTAGE CHRISTMAS,25179,12556.77,801,High Demand,Increase Stock
21984,PACK OF 12 PINK PAISLEY TISSUES ,25150,6880.0,350,High Demand,Increase Stock
21790,VINTAGE SNAP CARDS,25120,19957.34,1480,High Demand,Increase Stock
21985,PACK OF 12 HEARTS DESIGN TISSUES ,24766,8441.64,734,High Demand,Increase Stock
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24665,11759.77,258,High Demand,Increase Stock
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,45059.13,1680,High Demand,Increase Stock
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,3317,High Demand,Increase Stock
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,43313.9,1228,High Demand,Increase Stock
22386,JUMBO BAG PINK POLKADOT,23572,43319.16,1055,High Demand,Increase Stock
47566,PARTY BUNTING,23460,103283.38,2077,High Demand,Increase Stock
20728,LUNCH BAG CARS BLUE,23304,36644.28,1797,High Demand,Increase Stock
21980,PACK OF 12 RED SPOTTY TISSUES ,22641,5922.509999999999,224,High Demand,Increase Stock
84270,ASSTD DESIGN BUBBLE GUM RING,22410,4622.099999999999,385,High Demand,Increase Stock
21181,PLEASE ONE PERSON METAL SIGN,22379,44310.600000000006,1399,High Demand,Increase Stock
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21125,16833.35,585,High Demand,Increase Stock
20726,LUNCH BAG WOODLAND,20916,33004.76,1585,High Demand,Increase Stock
22417,PACK OF 60 SPACEBOY CAKE CASES,20867,10465.49,911,High Demand,Increase Stock
20668,DISCO BALL CHRISTMAS DECORATION,20550,2292.04,309,High Demand,Increase Stock
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,23554.3,1003,High Demand,Increase Stock
20725,LUNCH BAG RED RETROSPOT,20294,32137.5,1520,High Demand,Increase Stock
22629,SPACEBOY LUNCH BOX ,20271,36150.99,1108,High Demand,Increase Stock
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20064,23812.52,1224,High Demand,Increase Stock
21175,GIN + TONIC DIET METAL SIGN,19755,40940.78,1385,High Demand,Increase Stock
21166,COOK WITH WINE METAL SIGN ,19652,37029.340000000004,1225,High Demand,Increase Stock
20713,JUMBO BAG OWLS,19463,35162.42,920,High Demand,Increase Stock
84836,ZINC METAL HEART DECORATION,19328,23331.43,1244,High Demand,Increase Stock
72741,GRAND CHOCOLATECANDLE,19284,25895.4,823,High Demand,Increase Stock
20719,WOODLAND CHARLOTTE BAG,19027,15030.64,1062,High Demand,Increase Stock
84978,HANGING HEART JAR T-LIGHT HOLDER,19012,22079.739999999998,1087,High Demand,Increase Stock
22382,LUNCH BAG SPACEBOY DESIGN ,18834,30131.7,1874,High Demand,Increase Stock
84946,ANTIQUE SILVER TEA GLASS ETCHED,18604,21540.440000000002,789,High Demand,Increase Stock
21231,SWEETHEART CERAMIC TRINKET BOX,18488,21793.25,1171,High Demand,Increase Stock
21137,BLACK RECORD COVER FRAME,18417,63092.12,539,High Demand,Increase Stock
84598,BOYS ALPHABET IRON ON PATCHES,18241,3542.61,41,High Demand,Increase Stock
21094,SET/6 RED SPOTTY PAPER PLATES,17752,13068.56,692,High Demand,Increase Stock
20725,LUNCH BAG RED SPOTTY,17456,27237.6,1059,High Demand,Increase Stock
21497,FANCY FONTS BIRTHDAY WRAP,17450,6957.0,483,High Demand,Increase Stock
22630,DOLLY GIRL LUNCH BOX,17340,30921.64,998,High Demand,Increase Stock
84692,BOX OF 24 COCKTAIL PARASOLS,17299,6964.39,721,High Demand,Increase Stock
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17242,18798.98,281,High Demand,Increase Stock
21733,RED HANGING HEART T-LIGHT HOLDER,17228,48850.6,1631,High Demand,Increase Stock
22470,HEART OF WICKER LARGE,17104,49859.5,1743,High Demand,Increase Stock
22489,PACK OF 12 TRADITIONAL CRAYONS,17090,6889.77,609,High Demand,Increase Stock
21326,AGED GLASS SILVER T-LIGHT HOLDER,17004,10338.6,532,High Demand,Increase Stock
21704,BAG 250g SWIRLY MARBLES,16824,12750.539999999999,464,High Demand,Increase Stock
22585,PACK OF 6 BIRDY GIFT TAGS,16784,19950.85,950,High Demand,Increase Stock
